CampaignID,GoalAmount,RaisedAmount,DurationDays,NumBackers,Category,LaunchMonth,Country,Currency,OwnerExperience,VideoIncluded,SocialMediaPresence,NumUpdates,IsSuccessful
CID_00000,76159,73518.02895,15,1903,Film,September,Australia,GBP,11,Yes,41758,3,0
CID_00001,69394,60068.68329,49,469,Art,October,Australia,GBP,7,Yes,79112,48,0
CID_00002,18652,22958.15347,58,148,Film,February,USA,EUR,17,No,3942,9,1
CID_00003,19487,24229.04839,39,780,Film,October,Germany,AUD,10,No,22047,35,1
CID_00004,26734,17984.63031,68,1622,Games,September,Australia,AUD,12,Yes,72568,17,0
CID_00005,33621,26373.54114,88,819,Film,April,USA,EUR,8,No,73736,25,0
CID_00006,77380,59282.02517,47,1214,Art,June,UK,CAD,14,Yes,24899,42,0
CID_00007,2510,1631.418361,65,1487,Music,September,Australia,CAD,17,No,55200,1,0
CID_00008,83434,59637.68698,72,225,Technology,February,Australia,CAD,17,No,90320,38,0
CID_00009,43798,50387.4195,53,1304,Film,July,Australia,GBP,2,Yes,27659,27,1
CID_00010,52624,78626.48072,76,1752,Music,July,USA,AUD,14,Yes,72397,36,1
CID_00011,86481,116265.1023,40,408,Film,September,Australia,AUD,13,No,76723,39,1
CID_00012,4133,6094.482086,33,1289,Technology,October,Germany,EUR,15,Yes,40931,19,1
CID_00013,13858,7455.957968,24,831,Games,March,Canada,EUR,15,Yes,43628,38,0
CID_00014,87122,52347.04052,28,857,Technology,June,Germany,CAD,0,Yes,69570,16,0
CID_00015,21292,12570.62585,74,1362,Games,March,Germany,CAD,4,Yes,57741,30,0
CID_00016,97747,131246.3397,41,212,Games,March,Australia,GBP,1,No,81927,8,1
CID_00017,56973,54633.47667,23,1492,Games,March,Australia,AUD,13,No,74286,10,0
CID_00018,74844,93851.26601,64,1043,Art,October,UK,GBP,1,No,95833,38,1
CID_00019,68884,41111.32433,62,1700,Music,January,Canada,AUD,5,No,19809,35,0
CID_00020,88555,121332.3511,74,1919,Games,September,Australia,AUD,13,No,13210,15,1
CID_00021,18385,26700.46289,67,248,Art,October,USA,GBP,18,Yes,42372,42,1
CID_00022,41548,37731.48348,74,1862,Film,February,USA,USD,11,No,12995,3,0
CID_00023,54465,36947.9207,24,1778,Art,June,Australia,EUR,0,No,99115,29,0
CID_00024,71329,86039.96657,61,1587,Games,October,Canada,USD,0,Yes,99464,46,1
CID_00025,22114,26608.22508,23,77,Games,March,Canada,CAD,8,Yes,42245,6,1
CID_00026,73624,47556.86724,19,1548,Film,September,USA,GBP,13,No,45199,24,0
CID_00027,17270,13239.35788,43,42,Technology,October,Australia,AUD,8,Yes,58811,3,0
CID_00028,35699,41918.62668,59,782,Technology,June,UK,USD,14,Yes,85475,38,1
CID_00029,8125,11507.53013,79,1393,Music,March,UK,GBP,2,Yes,1709,23,1
CID_00030,23053,12883.51703,73,1970,Music,July,UK,EUR,7,No,82853,22,0
CID_00031,22950,32524.11274,46,1417,Technology,February,Australia,EUR,7,Yes,97011,18,1
CID_00032,13787,17799.90492,42,488,Music,October,UK,GBP,6,Yes,31522,17,1
CID_00033,85822,71211.74073,66,1836,Art,August,Australia,GBP,0,No,79296,16,0
CID_00034,58562,49470.40876,89,1700,Games,December,USA,AUD,4,No,13440,48,0
CID_00035,94247,122867.8998,45,1439,Music,November,UK,USD,10,No,18850,34,1
CID_00036,81788,70296.63659,31,1631,Film,April,Germany,GBP,11,Yes,3092,14,0
CID_00037,84618,44618.60443,64,845,Technology,January,Australia,EUR,14,Yes,47506,4,0
CID_00038,53354,58806.14108,52,666,Art,July,Germany,CAD,14,No,12452,33,1
CID_00039,47832,70520.73018,87,1408,Film,August,Germany,CAD,2,No,96579,15,1
CID_00040,38255,25741.47411,52,1497,Games,December,Australia,EUR,6,No,76661,6,0
CID_00041,19791,17525.25864,74,872,Games,October,USA,EUR,18,No,31013,7,0
CID_00042,71656,42728.68753,31,1482,Games,July,Australia,USD,18,Yes,32793,19,0
