neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous
2162117,162117 (1998 SD15),19.14,0.394961694,0.883161196,Earth,71745.40105,58143623.32,FALSE
2349507,349507 (2008 QY),18.5,0.530340723,1.185877909,Earth,109949.7571,55801047.82,TRUE
2455415,455415 (2003 GA),21.45,0.136318556,0.304817558,Earth,24865.5068,67206887.72,FALSE
3132126,(2002 PB),20.63,0.198863453,0.4446722,Earth,78890.07681,30396444.12,FALSE
3557844,(2011 DW),22.7,0.076657557,0.171411509,Earth,56036.51948,63118626.51,FALSE
3656926,(2014 BT8),25,0.02658,0.059434687,Earth,47477.64983,42905214.18,FALSE
3421513,(2008 OX1),21.5,0.133215567,0.297879063,Earth,57853.29535,27279081.27,TRUE
3541504,(2010 OF101),19.75,0.298232505,0.666868155,Earth,46972.48679,69975931.31,FALSE
3836942,(2018 YH),21.7,0.121494041,0.271668934,Earth,37424.54838,5657726.907,TRUE
3892166,(2019 UP13),23.45,0.054269395,0.121350055,Earth,38524.86787,61661184.56,FALSE
54245816,(2022 CM3),26.02,0.01661709,0.037156943,Earth,45125.61205,34223883.07,FALSE
2627157,627157 (2008 OX1),21.5,0.133215567,0.297879063,Earth,57853.29574,27279080.74,TRUE
54418652,(2024 AF),23.76,0.047049496,0.105205872,Earth,19121.33491,12444447.77,FALSE
2162635,162635 (2000 SS164),16.71,1.209358264,2.704207287,Earth,12703.78857,69589432.44,FALSE
3559741,(2011 EE41),24.3,0.036690614,0.082042707,Earth,67828.78588,71307953.84,FALSE
54193347,(2021 RA4),24.32,0.036354232,0.081290534,Earth,45162.15576,40366842.87,FALSE
54245582,(2022 CQ2),24.9,0.027832677,0.062235757,Earth,40238.01906,10675158.1,FALSE
2277810,277810 (2006 FV35),21.72,0.120380177,0.269178258,Earth,31504.10093,43507908.96,FALSE
2284422,284422 (2006 YD),17.36,0.896509666,2.004656557,Earth,99804.73902,55195295.79,FALSE
2357439,357439 (2004 BL86),19.29,0.368599699,0.824213984,Earth,59133.77659,7266531.842,TRUE
3639467,(2013 LC1),23.9,0.04411182,0.098637028,Earth,44783.19122,50409368.11,FALSE
54110699,(2021 CZ2),22.45,0.086011194,0.192326877,Earth,100358.5948,68046448.92,FALSE
2052387,52387 Huitzilopochtli (1993 OM7),17.77,0.742258153,1.659739687,Earth,57915.56642,60288917.26,FALSE
3274691,(2005 FC),24.5,0.033462237,0.074823838,Earth,27818.61491,40002412.18,FALSE
3365921,(2007 AM),21.82,0.114962176,0.257063241,Earth,83141.53711,48289866.12,FALSE
3379718,(2007 NL1),21.22,0.151549664,0.33887535,Earth,36587.19309,61868384.33,FALSE
2408980,408980 (2002 RB126),18.71,0.481454197,1.076564312,Earth,81627.97678,37769003.29,FALSE
3092330,(2001 SY169),23.1,0.063760979,0.142573883,Earth,33610.0833,73666306.94,FALSE
3401381,(2008 CG),22,0.105816886,0.23661375,Earth,43563.43589,19013001.22,FALSE
3629117,(2013 ET),23.1,0.063760979,0.142573883,Earth,33607.4286,73660041.97,FALSE
3730580,(2015 TY237),21.58,0.12839703,0.287104486,Earth,31033.08542,56159522.34,TRUE
3767244,(2017 BL31),19.1,0.40230458,0.899580388,Earth,111555.3621,17509684.25,FALSE
3837780,(2019 AP8),24.5,0.033462237,0.074823838,Earth,12536.2359,29601415.59,FALSE
3841977,(2019 KW),26.87,0.011234532,0.025121177,Earth,31042.55754,41381758.34,FALSE
3314405,(2006 BX139),20.09,0.255008688,0.570216761,Earth,11063.499,46537091.75,FALSE
3547318,(2010 RH178),20.37,0.224158379,0.501233372,Earth,22041.88215,63695363.83,FALSE
3662229,(2014 DR),21.2,0.152951935,0.342010925,Earth,91905.53332,49683854.72,FALSE
54210931,(2021 UL),30.3,0.002315021,0.005176545,Earth,36238.47101,43251216.74,FALSE
54276977,(2022 HH3),19.75,0.298232505,0.666868155,Earth,75588.0815,30495548.94,FALSE
2152828,152828 (1999 VT25),21.28,0.147419515,0.329640056,Earth,45729.68419,52416785.71,TRUE
2494975,494975 (2009 WO106),19.18,0.38775283,0.867041687,Earth,68306.59276,37907208.56,TRUE
3136724,(2002 RS129),22.89,0.070235225,0.157050737,Earth,44707.03863,13699106.11,FALSE
54104550,(2021 AP1),23.67,0.04904051,0.109657914,Earth,21906.34379,71397459.13,FALSE
54422950,(2024 BC3),22.21,0.096062742,0.21480282,Earth,58608.42508,36747753.03,FALSE
2381564,381564 (2008 UW5),18.25,0.595052079,1.330576898,Earth,21273.20086,21822011.14,FALSE
2483432,483432 (2001 DF47),20.44,0.217047594,0.485333175,Earth,41135.35903,24697911.85,TRUE
3150194,(2003 DZ15),22.41,0.087610262,0.1959025,Earth,38826.56693,19911587.27,FALSE
3595776,(2012 AC11),21.94,0.108781483,0.243242792,Earth,39222.08013,42574593.52,FALSE
3626687,(2013 CW87),25.8,0.018388867,0.041118757,Earth,11799.2341,11777844.06,FALSE
3826667,(2018 PM9),23,0.066765941,0.149293183,Earth,33542.34105,71713739.74,FALSE
3838186,(2019 CN2),28.4,0.005553349,0.012417666,Earth,21470.80392,14651213.75,FALSE
54301963,(2022 RS2),23.35,0.056827032,0.127069107,Earth,23386.44899,25941229.55,FALSE
2275792,275792 (2001 QH142),18.41,0.552783379,1.236061213,Earth,55376.36048,72553948.68,FALSE
3465683,(2009 PY),21.12,0.158691979,0.354846053,Earth,70209.61258,46538004.05,FALSE
3627115,(2013 DL1),21.23,0.150853356,0.337318359,Earth,69471.62391,66702340.74,FALSE
3673982,(2014 MF18),26.11,0.015942447,0.035648395,Earth,20399.05445,31984291.73,FALSE
3765915,(2016 XD1),19.2,0.384197891,0.859092601,Earth,26539.56193,56698857.71,FALSE
3773050,(2017 FK102),20.63,0.198863453,0.4446722,Earth,66891.09724,47073303.69,FALSE
3838846,(2019 DC1),23,0.066765941,0.149293183,Earth,108757.8262,63342180.57,FALSE
3842637,(2019 KW3),21.86,0.11286388,0.252371308,Earth,14012.49673,45366131.3,FALSE
2605911,605911 Cecily (2016 XD1),19.22,0.380675544,0.851216393,Earth,26539.43532,56699699.7,FALSE
2424969,424969 (2009 BT5),20.64,0.197949759,0.442629117,Earth,39941.29516,38449936.56,FALSE
2477490,477490 (2010 CG18),20.59,0.202560601,0.452939273,Earth,14816.47379,63101465.45,FALSE
3401191,(2008 BP16),21.8,0.116025908,0.259441818,Earth,115260.6794,48890860.48,FALSE
3989235,(2020 BF10),27.2,0.009650615,0.021579431,Earth,25832.7561,7587722.433,FALSE
3991727,(2020 DA2),22.8,0.073207399,0.163696721,Earth,27475.42559,14244915.33,FALSE
3125005,(2002 JQ9),19.24,0.377185489,0.843412394,Earth,42003.18768,68463438.16,TRUE
3463161,(2009 LQ1),22.18,0.097399107,0.217791025,Earth,22265.46706,72618758.38,FALSE
3740929,(2016 BW14),25.8,0.018388867,0.041118757,Earth,66418.50001,61218413.31,FALSE
54167167,(2021 NO2),26.22,0.015154966,0.033887535,Earth,76805.48678,60973529.62,FALSE
3568329,(2011 MW1),22.35,0.090064777,0.201390963,Earth,39750.65218,15123817.92,FALSE
3621023,(2012 XO134),24,0.042126461,0.094197631,Earth,35555.88694,52709952.6,FALSE
3656924,(2014 BQ8),21.41,0.138852907,0.310484539,Earth,54761.3522,28487552.25,FALSE
3774433,(2017 JB),23.68,0.048815189,0.109154081,Earth,15901.20811,69658364.4,FALSE
3968759,(2020 AB),26,0.016770846,0.037500752,Earth,64218.87207,57976190.42,FALSE
3986832,(2020 BT2),23.67,0.04904051,0.109657914,Earth,89917.29028,67948758.98,FALSE
2140039,140039 (2001 SO73),18.08,0.643509521,1.438931032,Earth,106453.0869,74787549.72,TRUE
3616697,(2012 VN6),21.36,0.142087207,0.317716653,Earth,71327.58307,55774305.85,FALSE
3628123,(2013 DA15),20.48,0.213086029,0.476474847,Earth,57914.6903,72145663.12,FALSE
3678630,(2014 OL339),22.78,0.073884779,0.165211388,Earth,49824.94582,60373430.82,FALSE
